implementation,running_time,buffer_size
"Read by Line, Write by Char",202.66814160346985,-
"Read by Line, Write by Line",21.001819849014282,-
"Read by Line, Write by Buffer",39.25851225852966,16
"Read by Line, Write by Buffer",33.20480132102966,32
"Read by Line, Write by Buffer",31.016749143600464,64
"Read by Line, Write by Buffer",27.907779932022095,128
"Read by Line, Write by Buffer",34.39878797531128,256
"Read by Line, Write by Buffer",30.179704904556274,512
"Read by Line, Write by Buffer",29.73728656768799,1024
"Read by Line, Write by Buffer",28.549914121627808,2048
"Read by Line, Write by Buffer",30.798310041427612,4096
"Read by Line, Write by Buffer",30.33649182319641,8192
"Read by Line, Write by Buffer",28.530314207077026,16384
"Read by Line, Write by Buffer",28.841384649276733,32768
"Read by Line, Write by Buffer",28.870206594467163,65536
"Read by Line, Write by Buffer",29.9774067401886,131072
"Read by Line, Write by Buffer",31.04350757598877,262144
"Read by Line, Write by Buffer",28.255515575408936,524288
"Read by Line, Write by Map",16.814345121383667,16
"Read by Line, Write by Map",17.773682594299316,32
"Read by Line, Write by Map",16.61960744857788,64
"Read by Line, Write by Map",18.782756805419922,128
"Read by Line, Write by Map",19.16529870033264,256
"Read by Line, Write by Map",18.52402353286743,512
"Read by Line, Write by Map",19.122589588165283,1024
"Read by Line, Write by Map",16.59878635406494,2048
"Read by Line, Write by Map",20.600250244140625,4096
"Read by Line, Write by Map",16.864838361740112,8192
"Read by Line, Write by Map",18.437490224838257,16384
"Read by Line, Write by Map",22.04436755180359,32768
"Read by Line, Write by Map",20.293465852737427,65536
"Read by Line, Write by Map",21.140849828720093,131072
"Read by Line, Write by Map",21.3332040309906,262144
"Read by Line, Write by Map",19.885380506515503,524288
"Read by Buffer, Write by Char",329.28972458839417,16
"Read by Buffer, Write by Char",264.5240161418915,32
"Read by Buffer, Write by Char",235.1991045475006,64
"Read by Buffer, Write by Char",217.04700136184692,128
"Read by Buffer, Write by Char",225.95020985603333,256
"Read by Buffer, Write by Char",231.28388047218323,512
"Read by Buffer, Write by Char",217.32095193862915,1024
"Read by Buffer, Write by Char",213.62802577018738,2048
"Read by Buffer, Write by Char",201.61003875732422,4096
"Read by Buffer, Write by Char",204.70435309410095,8192
"Read by Buffer, Write by Char",197.7091588973999,16384
"Read by Buffer, Write by Char",204.7838010787964,32768
"Read by Buffer, Write by Char",207.34044528007507,65536
"Read by Buffer, Write by Char",236.13413071632385,131072
"Read by Buffer, Write by Char",243.00049781799316,262144
"Read by Buffer, Write by Char",288.34453201293945,524288
"Read by Buffer, Write by Line",161.54288840293884,16
"Read by Buffer, Write by Line",99.84520363807678,32
"Read by Buffer, Write by Line",65.75677156448364,64
"Read by Buffer, Write by Line",48.3701548576355,128
"Read by Buffer, Write by Line",35.72787857055664,256
"Read by Buffer, Write by Line",32.08081245422363,512
"Read by Buffer, Write by Line",29.40115237236023,1024
"Read by Buffer, Write by Line",28.98038649559021,2048
"Read by Buffer, Write by Line",30.294773817062378,4096
"Read by Buffer, Write by Line",29.67703342437744,8192
"Read by Buffer, Write by Line",30.526099681854248,16384
"Read by Buffer, Write by Line",33.72623634338379,32768
"Read by Buffer, Write by Line",39.46137499809265,65536
"Read by Buffer, Write by Line",54.420198917388916,131072
"Read by Buffer, Write by Line",84.80254745483398,262144
"Read by Buffer, Write by Line",138.2746570110321,524288
"Read by Buffer, Write by Buffer",175.51291704177856,16
"Read by Buffer, Write by Buffer",111.43525838851929,32
"Read by Buffer, Write by Buffer",79.48228669166565,64
"Read by Buffer, Write by Buffer",57.19994854927063,128
"Read by Buffer, Write by Buffer",47.561771869659424,256
"Read by Buffer, Write by Buffer",41.96049880981445,512
"Read by Buffer, Write by Buffer",40.981290340423584,1024
"Read by Buffer, Write by Buffer",40.240559101104736,2048
"Read by Buffer, Write by Buffer",40.34202194213867,4096
"Read by Buffer, Write by Buffer",38.467605113983154,8192
"Read by Buffer, Write by Buffer",40.23829770088196,16384
"Read by Buffer, Write by Buffer",44.48446488380432,32768
"Read by Buffer, Write by Buffer",53.85588502883911,65536
"Read by Buffer, Write by Buffer",67.19278335571289,131072
"Read by Buffer, Write by Buffer",101.68607592582703,262144
"Read by Buffer, Write by Buffer",154.07167840003967,524288
"Read by Buffer, Write by Map",129.47994875907898,16
"Read by Buffer, Write by Map",81.78414535522461,32
"Read by Buffer, Write by Map",50.70223426818848,64
"Read by Buffer, Write by Map",38.28574061393738,128
"Read by Buffer, Write by Map",31.980000019073486,256
"Read by Buffer, Write by Map",28.033263206481934,512
"Read by Buffer, Write by Map",25.179901838302612,1024
"Read by Buffer, Write by Map",20.093716382980347,2048
"Read by Buffer, Write by Map",21.360872507095337,4096
"Read by Buffer, Write by Map",21.422596216201782,8192
"Read by Buffer, Write by Map",20.607848405838013,16384
"Read by Buffer, Write by Map",24.59686589241028,32768
"Read by Buffer, Write by Map",29.906322240829468,65536
"Read by Buffer, Write by Map",39.057796001434326,131072
"Read by Buffer, Write by Map",64.72019076347351,262144
"Read by Buffer, Write by Map",118.11281943321228,524288
